Id,date_new,sum_mets,Calories
7086361926,14-04-16,24100,2734
8053475328,14-04-16,27987,3411
8253242879,14-04-16,17204,1705
8378563200,14-04-16,27726,4163
8583815059,14-04-16,17415,2443
8792009665,14-04-16,16741,1963
8877689391,14-04-16,31155,3793
1503960366,15-04-16,22190,1745
1624580081,15-04-16,16174,1344
1644430081,15-04-16,19572,2750
1844505072,15-04-16,18446,1725
1927972279,15-04-16,15508,2221
2022484408,15-04-16,24342,2525
2026352035,15-04-16,18642,1444
2320127002,15-04-16,19586,1801
2347167796,15-04-16,22681,2133
2873212765,15-04-16,23496,2063
3372868164,15-04-16,20404,1908
3977333714,15-04-16,20899,1468
4020332650,15-04-16,21440,2951
4057192912,15-04-16,12240,1527
4319703577,15-04-16,19596,1985
4388161847,15-04-16,23513,3066
4445114986,15-04-16,21719,2496
4558609924,15-04-16,22863,2121
4702921684,15-04-16,20676,2896
5553957443,15-04-16,24611,2254
5577150313,15-04-16,31660,4005
6117666160,15-04-16,27568,2865
6290855005,15-04-16,20240,2896
6775888955,15-04-16,16644,2127
6962181067,15-04-16,19582,1756
7007744171,15-04-16,19409,2098
7086361926,15-04-16,21166,2395
8053475328,15-04-16,28013,3410
8253242879,15-04-16,16462,1632
8378563200,15-04-16,24348,3666
8583815059,15-04-16,15742,2505
8792009665,15-04-16,17137,2009
8877689391,15-04-16,32217,3934
1503960366,16-04-16,23694,1863
1624580081,16-04-16,17614,1463
1644430081,16-04-16,24860,3493
1844505072,16-04-16,17716,1657
1927972279,16-04-16,14400,2064
2022484408,16-04-16,20984,2177
2026352035,16-04-16,17724,1373
2320127002,16-04-16,18742,1724
2347167796,16-04-16,28392,2670
2873212765,16-04-16,24484,2148
3372868164,16-04-16,20401,1908
3977333714,16-04-16,23126,1625
4020332650,16-04-16,22186,3051
4319703577,16-04-16,18607,1884
4388161847,16-04-16,23564,3073
4445114986,16-04-16,18973,2180
4558609924,16-04-16,21451,1997
4702921684,16-04-16,23716,3328
5553957443,16-04-16,19990,1831
5577150313,16-04-16,33785,4274
6117666160,16-04-16,27215,2828
6290855005,16-04-16,19454,2783
6775888955,16-04-16,17404,2225
6962181067,16-04-16,24118,2173
7007744171,16-04-16,19203,2076
7086361926,16-04-16,14449,1635
8053475328,16-04-16,23554,2867
8253242879,16-04-16,18973,1880
8378563200,16-04-16,22398,3363
8583815059,16-04-16,14400,2693
8792009665,16-04-16,14679,1721
8877689391,16-04-16,37117,4547
1503960366,17-04-16,21972,1728
1624580081,17-04-16,18706,1554
1644430081,17-04-16,21426,3011
1844505072,17-04-16,19172,1793
1927972279,17-04-16,14402,2063
2022484408,17-04-16,26814,2782
2026352035,17-04-16,15675,1214
2320127002,17-04-16,20140,1852
2347167796,17-04-16,20015,1882
2873212765,17-04-16,17420,1529
3372868164,17-04-16,21003,1964
3977333714,17-04-16,21769,1529
4020332650,17-04-16,14457,1990
4319703577,17-04-16,14460,1464
4388161847,17-04-16,19724,2572
4445114986,17-04-16,16808,1933
4558609924,17-04-16,22775,2117
4702921684,17-04-16,24232,3394
5553957443,17-04-16,15260,1397
5577150313,17-04-16,36024,4552
6117666160,17-04-16,21416,2225
6290855005,17-04-16,22164,3171
6775888955,17-04-16,16169,2067
6962181067,17-04-16,22621,2027
7007744171,17-04-16,22045,2383
7086361926,17-04-16,14400,1629
8053475328,17-04-16,26388,3213
8253242879,17-04-16,21304,2112
8378563200,17-04-16,17130,2572
8583815059,17-04-16,14400,2439
8792009665,17-04-16,14400,1688
8877689391,17-04-16,28959,3545
1503960366,18-04-16,24433,1921
1624580081,18-04-16,19308,1604
1644430081,18-04-16,19972,2806
1844505072,18-04-16,19384,1814
1927972279,18-04-16,14736,2111
2022484408,18-04-16,26702,2770
2026352035,18-04-16,18308,1419
2320127002,18-04-16,20708,1905
2347167796,18-04-16,20674,1944
2873212765,18-04-16,21521,1890
3372868164,18-04-16,21534,2014
3977333714,18-04-16,22547,1584
4020332650,18-04-16,14505,1995
4319703577,18-04-16,16152,1632
4388161847,18-04-16,25102,3274
4445114986,18-04-16,19561,2248
4558609924,18-04-16,22756,2116
4702921684,18-04-16,21516,3013
5553957443,18-04-16,18376,1683
5577150313,18-04-16,28681,3625
